Trelast og Byggevarer,Tak,Takplater,Takplater Plast,1021630,,,,,,,,,,,,,,,,,,,,1021630
Trelast og Byggevarer,Tak,Takplater,Takplater Tilbehør ,1021690,,,,,,,,,,,,,,,,,,,,1021690
Trelast og Byggevarer,Tak,Takbelegg og Papp,Undertak,1024050,,,,,,,,,,,,,,,,,,,,1024050
Trelast og Byggevarer,Tak,Takbelegg og Papp,Takbelegg Under,1024100,,,,,,,,,,,,,,,,,,,,1024100
Trelast og Byggevarer,Tak,Takbelegg og Papp,Takbelegg Over,1024200,,,,,,,,,,,,,,,,,,,,1024200
Trelast og Byggevarer,Tak,Takbelegg og Papp,Takshingel,1024310,,,,,,,,,,,,,,,,,,,,1024310
Trelast og Byggevarer,Tak,Takbelegg og Papp,Takbelegg Tilbehør,2024420,1024900,,,,,,,,,,,,,,,,,,,"2024420,1024900"
Trelast og Byggevarer,Tak,Takrenner og Beslag,Takrenner,1022110,,,,,,,,,,,,,,,,,,,,1022110
Trelast og Byggevarer,Tak,Takrenner og Beslag,Takrenner Tilbehør ,102200,102210,,,,,,,,,,,,,,,,,,,"102200,102210"
Trelast og Byggevarer,Tak,Takrenner og Beslag,Gradrenner,1022150,,,,,,,,,,,,,,,,,,,,1022150
Trelast og Byggevarer,Tak,Takrenner og Beslag,Vannbrettbeslag,1022400,1022460,,,,,,,,,,,,,,,,,,,"1022400,1022460"
Trelast og Byggevarer,Tak,Takrenner og Beslag,Tak og Veggbeslag ,1022500,,,,,,,,,,,,,,,,,,,,1022500
Trelast og Byggevarer,Tak,Takrenner og Beslag,Mønebeslag,1022600,,,,,,,,,,,,,,,,,,,,1022600
Trelast og Byggevarer,Tak,Takrenner og Beslag,Pipebeslag og Takhatt,1022550,,,,,,,,,,,,,,,,,,,,1022550
"Gulv, Dør, Vindu og Varme",Gulv,,Heltregulv,1512100,512200,1512500,,,,,,,,,,,,,,,,,,"1512100,512200,1512500"
"Gulv, Dør, Vindu og Varme",Gulv,,Parkettgulv,1512001,,,,,,,,,,,,,,,,,,,,1512001
"Gulv, Dør, Vindu og Varme",Gulv,,Parkett Tilbehør ,1512900,,,,,,,,,,,,,,,,,,,,1512900
"Gulv, Dør, Vindu og Varme",Gulv,,Laminatgulv,1513001,,,,,,,,,,,,,,,,,,,,1513001
"Gulv, Dør, Vindu og Varme",Gulv,,Laminat Tilbehør ,1513900,,,,,,,,,,,,,,,,,,,,1513900
"Gulv, Dør, Vindu og Varme",Gulv,,Harde Tregulv,1512500,,,,,,,,,,,,,,,,,,,,1512500
"Gulv, Dør, Vindu og Varme",Gulv,,Gulvbelegg,1580001,,,,,,,,,,,,,,,,,,,,1580001
"Gulv, Dør, Vindu og Varme",Gulv,,Klikkvinyl Gulv,1580080,,,,,,,,,,,,,,,,,,,,1580080
"Gulv, Dør, Vindu og Varme",Gulv,,Gulvvarme,2720110,2720560,,,,,,,,,,,,,,,,,,,"2720110,2720560"
"Gulv, Dør, Vindu og Varme",Gulv,,Gulvlister,510100,511100,512100,513100,,,,,,,,,,,,,,,,,"0510100,0511100,0512100,0513100"
"Gulv, Dør, Vindu og Varme",Gulv,,Underlag ,,,,,,,,,,,,,,,,,,,,,
"Gulv, Dør, Vindu og Varme",Gulv,,Verktøy og Tilbehør,,,,,,,,,,,,,,,,,,,,,
"Gulv, Dør, Vindu og Varme",Gulv,,Overgangslister og Trappeneser,1523200,,,,,,,,,,,,,,,,,,,,1523200
"Gulv, Dør, Vindu og Varme",Dør,,Ytterdører,1330100,1330200,,,,,,,,,,,,,,,,,,,"1330100,1330200"
"Gulv, Dør, Vindu og Varme",Dør,,Innerdører,1310100,131200,1310400,1310500,,,,,,,,,,,,,,,,,"1310100,131200,1310400,1310500"
"Gulv, Dør, Vindu og Varme",Dør,,Brann og Lyddør,1340300,,,,,,,,,,,,,,,,,,,,1340300
"Gulv, Dør, Vindu og Varme",Dør,,Boddør,1330300,1330300,,,,,,,,,,,,,,,,,,,"1330300,1330300"
"Gulv, Dør, Vindu og Varme",Dør,,Balkongdør,1460100,,,,,,,,,,,,,,,,,,,,1460100
"Gulv, Dør, Vindu og Varme",Dør,,Karmer Innedør,1355100,1355200,,,,,,,,,,,,,,,,,,,"1355100,1355200"
"Gulv, Dør, Vindu og Varme",Dør,,Skyvedørskarmer,1355300,,,,,,,,,,,,,,,,,,,,1355300
"Gulv, Dør, Vindu og Varme",Dør,,Dørvridere,1602110,1602100,,,,,,,,,,,,,,,,,,,"1602110,1602100"
"Gulv, Dør, Vindu og Varme",Vindu,,Vindu,1410,,,,,,,,,,,,,,,,,,,,1410
"Gulv, Dør, Vindu og Varme",Varme,,Peisovner,3401001,3401100,3401200,3401300,,,,,,,,,,,,,,,,,"3401001,3401100,3401200,3401300"
"Gulv, Dør, Vindu og Varme",Varme,,Ovnsrør,3401400,,,,,,,,,,,,,,,,,,,,3401400
"Gulv, Dør, Vindu og Varme",Varme,,Ovn og Peistilbehør,3405500,,,,,,,,,,,,,,,,,,,,3405500
"Gulv, Dør, Vindu og Varme",Varme,,Stålpipe,3401600,,,,,,,,,,,,,,,,,,,,3401600
